Industry,Contribution_to_GDP,Wage_bracket_0_to_9999
"Agriculture, Forestry And Fishing",23.8,12141
Mining And Quarrying,0.7,59
Manufacturing,9.6,632
"Electricity, Gas, Steam And Air Conditioning Supply",0.4,1680
"Water Supply; Sewerage, Waste Management And Remediation Activities",0.7,1680
Construction,4.1,1680
Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,10.5,56
Transportation And Storage,7.8,821
Accommodation And Food Service Activities,1.7,318
Information And Communication,2.2,48
Financial And Insurance Activities,6.3,1680
Real Estate Activities,4.4,156
"Professional, Scientific And Technical Activities",2.1,2613
Administrative And Support Service Activities,2.3,23
Public Administration And Defence; Compulsory Social Security,5.0,1142
Education,5.8,214
Human Health And Social Work Activities,2.4,1680
"Arts, Entertainment And Recreation",3.2,1680
Other Service Activities,0.4,1680
Activities Of Households As Employers; Undifferentiated Goods- And Services-Producing Activities Of Households For Own Use,4.403012048192771,1680
Activities Of Extraterritorial Organizations And Bodies,4.403012048192771,1680
"Agriculture, Forestry And Fishing",26.2,12008
Mining And Quarrying,1.1,61
Manufacturing,11.0,618
"Electricity, Gas, Steam And Air Conditioning Supply",1.1,1680
"Water Supply; Sewerage, Waste Management And Remediation Activities",0.9,1680
Construction,4.5,1680
Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,7.8,65
Transportation And Storage,8.0,807
Accommodation And Food Service Activities,1.3,310
Information And Communication,1.6,53
Financial And Insurance Activities,5.9,1680
Real Estate Activities,8.0,161
"Professional, Scientific And Technical Activities",1.0,2738
Administrative And Support Service Activities,1.3,44
Public Administration And Defence; Compulsory Social Security,4.4,1381
Education,5.4,214
Human Health And Social Work Activities,1.7,1680
"Arts, Entertainment And Recreation",0.1,1680
Other Service Activities,0.6,1680
Activities Of Households As Employers; Undifferentiated Goods- And Services-Producing Activities Of Households For Own Use,0.6,1680
Activities Of Extraterritorial Organizations And Bodies,-2.6,1680
"Agriculture, Forestry And Fishing",26.4,12328
Mining And Quarrying,0.9,64
Manufacturing,10.7,640
"Electricity, Gas, Steam And Air Conditioning Supply",1.1,1680
"Water Supply; Sewerage, Waste Management And Remediation Activities",0.9,1680
Construction,4.5,1680
Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,8.0,70
Transportation And Storage,8.0,820
Accommodation And Food Service Activities,1.2,331
Information And Communication,1.4,57
Financial And Insurance Activities,6.6,1680
Real Estate Activities,7.9,166
"Professional, Scientific And Technical Activities",1.0,2856
Administrative And Support Service Activities,1.2,48
